Air temperature,Process temperature,Temperature Diff,Rotational speed,Torque,Power,Tool wear,Target
298.1,308.6,10.5,1551,42.8,6951.606815999999,0,No Failure
298.2,308.7,10.5,1408,46.3,6826.738687999999,3,No Failure
298.1,308.5,10.399999999999977,1498,49.4,7749.405663999999,5,No Failure
298.2,308.6,10.400000000000034,1433,39.5,5927.51852,7,No Failure
298.2,308.7,10.5,1408,40.0,5897.8304,9,No Failure
298.1,308.6,10.5,1425,41.9,6252.569399999999,11,No Failure
298.1,308.6,10.5,1558,42.4,6917.719423999999,14,No Failure
298.1,308.6,10.5,1527,40.2,6428.279087999999,16,No Failure
298.3,308.7,10.399999999999977,1667,28.6,4992.651664,18,No Failure
298.5,309.0,10.5,1741,28.0,5104.89056,21,No Failure
298.4,308.9,10.5,1782,23.9,4460.003855999999,24,No Failure
298.6,309.1,10.5,1423,44.3,6601.433607999999,29,No Failure
298.6,309.1,10.5,1339,51.1,7165.246088000001,34,No Failure
298.6,309.2,10.599999999999966,1742,30.0,5472.6672,37,No Failure
298.6,309.2,10.599999999999966,2035,19.6,4176.861919999999,40,No Failure
298.6,309.2,10.599999999999966,1542,48.4,7815.546816,42,No Failure
298.6,309.2,10.599999999999966,1311,46.6,6397.617071999999,44,No Failure
298.7,309.2,10.5,1410,45.6,6733.07712,47,No Failure
298.8,309.2,10.399999999999977,1306,54.5,7453.6554399999995,50,No Failure
298.9,309.3,10.400000000000034,1632,32.5,5554.3488,55,No Failure
298.9,309.3,10.400000000000034,1375,42.7,6148.3730000000005,58,No Failure
298.8,309.3,10.5,1450,44.8,6802.6111999999985,63,No Failure
298.9,309.3,10.400000000000034,1581,30.7,5082.763223999999,65,No Failure
299.0,309.4,10.399999999999977,1758,25.7,4731.312432,68,No Failure
299.0,309.4,10.399999999999977,1561,37.3,6097.353415999999,70,No Failure
299.0,309.5,10.5,1861,23.3,4540.795336,73,No Failure
299.1,309.5,10.399999999999977,1512,39.0,6175.12896,75,No Failure
299.1,309.4,10.299999999999955,1811,24.6,4665.338832,77,No Failure
299.1,309.4,10.299999999999955,1439,44.2,6660.589936,82,No Failure
299.0,309.4,10.399999999999977,1693,30.1,5336.457896,84,No Failure
299.1,309.5,10.399999999999977,1339,48.2,6758.607856,86,No Failure
299.0,309.4,10.399999999999977,1798,25.5,4801.30728,89,No Failure
299.0,309.4,10.399999999999977,1419,48.3,7177.267943999999,91,No Failure
298.9,309.3,10.400000000000034,1665,32.5,5666.661,93,No Failure
298.8,309.1,10.300000000000011,1559,34.7,5665.069256,95,No Failure
298.8,309.2,10.399999999999977,1452,48.6,7389.797183999999,98,No Failure
298.9,309.2,10.300000000000011,1581,36.7,6076.137144,101,No Failure
298.8,309.1,10.300000000000011,1439,39.2,5907.129536,104,No Failure
298.9,309.2,10.300000000000011,1379,50.7,7321.530216,106,No Failure
298.8,309.1,10.300000000000011,1350,52.5,7422.03,111,No Failure
298.8,309.1,10.300000000000011,1362,45.4,6475.3402559999995,113,No Failure
298.8,309.1,10.300000000000011,1368,50.8,7277.453567999999,115,No Failure
298.8,309.1,10.300000000000011,1368,49.1,7033.916736,117,No Failure
298.8,309.2,10.399999999999977,1372,48.5,6968.27824,120,No Failure
298.8,309.1,10.300000000000011,1472,47.5,7322.0224,125,No Failure
298.8,309.1,10.300000000000011,1489,49.1,7656.068728,128,No Failure
298.7,309.0,10.300000000000011,1843,25.8,4979.373168,130,No Failure
298.8,309.1,10.300000000000011,1418,46.3,6875.224047999999,133,No Failure
298.8,309.2,10.399999999999977,1425,53.9,8043.2814,135,No Failure
298.9,309.2,10.300000000000011,1412,44.1,6520.830624,140,No Failure
298.9,309.1,10.200000000000045,2861,4.6,1378.1780319999998,143,PWF
298.9,309.1,10.200000000000045,1383,54.9,7951.044023999999,145,No Failure
298.8,309.0,10.199999999999989,1497,43.8,6866.343791999999,147,No Failure
298.7,309.0,10.300000000000011,1565,35.1,5752.42668,152,No Failure
298.7,309.0,10.300000000000011,1691,30.1,5330.153752,154,No Failure
298.8,309.1,10.300000000000011,1512,40.7,6444.301248,156,No Failure
298.8,309.1,10.300000000000011,1477,42.4,6558.069055999999,158,No Failure
298.8,309.1,10.300000000000011,1513,40.3,6385.186807999999,160,No Failure
298.8,309.0,10.199999999999989,1661,29.5,5131.22764,162,No Failure
298.8,309.1,10.300000000000011,1378,54.4,7850.146303999999,165,No Failure
298.8,309.1,10.300000000000011,1393,52.6,7673.0228959999995,167,No Failure
298.8,309.0,10.199999999999989,1592,38.2,6368.483968,169,No Failure
298.8,309.0,10.199999999999989,1829,22.9,4386.102951999999,172,No Failure
298.9,309.0,10.100000000000023,1812,25.9,4914.593375999999,174,No Failure
299.0,309.1,10.100000000000023,1523,38.6,6156.258416,177,No Failure
299.0,309.1,10.100000000000023,1394,45.1,6583.6835679999995,179,No Failure
298.9,308.9,10.0,1679,28.7,5046.174055999999,181,No Failure
298.8,308.9,10.099999999999966,1466,44.1,6770.210832,184,No Failure
298.8,308.9,10.099999999999966,1527,32.4,5181.001055999999,189,No Failure
298.9,309.0,10.100000000000023,1410,65.7,9700.94664,191,PWF
298.9,309.0,10.100000000000023,1924,22.6,4553.476928,193,No Failure
298.9,309.1,10.200000000000045,1452,45.5,6918.431519999999,196,No Failure
298.9,309.1,10.200000000000045,1369,44.4,6365.258591999999,198,No Failure
299.0,309.1,10.100000000000023,1592,35.0,5834.9983999999995,200,No Failure
298.9,309.0,10.100000000000023,1601,32.3,5415.312055999999,202,No Failure
298.8,308.9,10.099999999999966,1379,46.7,6743.894696,204,No Failure
298.8,308.9,10.099999999999966,1461,47.9,7328.504567999999,206,No Failure
298.8,308.9,10.099999999999966,1455,41.3,6292.781879999999,208,TWF
298.8,308.9,10.099999999999966,1398,51.5,7539.525839999999,0,No Failure
298.8,308.9,10.099999999999966,1402,37.9,5564.3809759999995,2,No Failure
298.8,308.8,10.0,1445,49.9,7550.887959999999,4,No Failure
